Parent,Name,ObjectType,AttributeDataReference,AttributeConfigString,AFPath
,PCS0210PN001_Crushing,Element,,,
PCS0210PN001_Crushing,MAR.M0210_FE001_MI_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE001_MI1_sPV,\\PISERVER\Database1\PCS0210PN001_Crushing|MAR.M0210_FE001_MI_sPV
PCS0210PN001_Crushing,MAR.M0210_FE001_MI1_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE001_MI1_sPV,\\PISERVER\Database1\PCS0210PN001_Crushing|MAR.M0210_FE001_MI1_sPV
PCS0210PN001_Crushing,MAR.M0210_FE001_sHRSRUN,Attribute,PI Point,\\PISERVER\MAR.M0210_FE001_sHRSRUN,\\PISERVER\Database1\PCS0210PN001_Crushing|MAR.M0210_FE001_sHRSRUN
PCS0210PN001_Crushing,MAR.M0210_FE001_SPD_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE001_SPD_sPV,\\PISERVER\Database1\PCS0210PN001_Crushing|MAR.M0210_FE001_SPD_sPV
,PCS0210PN002_Reclaim,Element,,,
PCS0210PN002_Reclaim,MAR.M0210_FE002_MI_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE002_MI_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE002_MI_sPV
PCS0210PN002_Reclaim,MAR.M0210_FE002_sHRSRUN,Attribute,PI Point,\\PISERVER\MAR.M0210_FE002_sHRSRUN,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE002_sHRSRUN
PCS0210PN002_Reclaim,MAR.M0210_FE002_SPD_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE002_SPD_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE002_SPD_sPV
PCS0210PN002_Reclaim,MAR.M0210_FE002_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE002_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE002_sPV
PCS0210PN002_Reclaim,MAR.M0210_FE002_sSPEED,Attribute,PI Point,\\PISERVER\MAR.M0210_FE002_sSPEED,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE002_sSPEED
PCS0210PN002_Reclaim,MAR.M0210_FE003_MI_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE003_MI_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE003_MI_sPV
PCS0210PN002_Reclaim,MAR.M0210_FE003_sHRSRUN,Attribute,PI Point,\\PISERVER\MAR.M0210_FE003_sHRSRUN,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE003_sHRSRUN
PCS0210PN002_Reclaim,MAR.M0210_FE003_SPD_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE003_SPD_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE003_SPD_sPV
PCS0210PN002_Reclaim,MAR.M0210_FE003_sSPEED,Attribute,PI Point,\\PISERVER\MAR.M0210_FE003_sSPEED,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE003_sSPEED
PCS0210PN002_Reclaim,MAR.M0210_FE009_MI_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE009_MI_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE009_MI_sPV
PCS0210PN002_Reclaim,MAR.M0210_FE009_sHRSRUN,Attribute,PI Point,\\PISERVER\MAR.M0210_FE009_sHRSRUN,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE009_sHRSRUN
PCS0210PN002_Reclaim,MAR.M0210_FE009_SPD_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE009_SPD_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE009_SPD_sPV
PCS0210PN002_Reclaim,MAR.M0210_FE010_MI_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE010_MI_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE010_MI_sPV
PCS0210PN002_Reclaim,MAR.M0210_FE010_sHRSRUN,Attribute,PI Point,\\PISERVER\MAR.M0210_FE010_sHRSRUN,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE010_sHRSRUN
PCS0210PN002_Reclaim,MAR.M0210_FE010_SPD_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE010_SPD_sPV,\\PISERVER\Database1\PCS0210PN002_Reclaim|MAR.M0210_FE010_SPD_sPV
,PCS0210PN003_SecondaryCrushing,Element,,,
PCS0210PN003_SecondaryCrushing,MAR.M0210_FE011_MI_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE011_MI_sPV,\\PISERVER\Database1\PCS0210PN003_SecondaryCrushing|MAR.M0210_FE011_MI_sPV
PCS0210PN003_SecondaryCrushing,MAR.M0210_FE011_sHRSRUN,Attribute,PI Point,\\PISERVER\MAR.M0210_FE011_sHRSRUN,\\PISERVER\Database1\PCS0210PN003_SecondaryCrushing|MAR.M0210_FE011_sHRSRUN
PCS0210PN003_SecondaryCrushing,MAR.M0210_FE011_SPD_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE011_SPD_sPV,\\PISERVER\Database1\PCS0210PN003_SecondaryCrushing|MAR.M0210_FE011_SPD_sPV
PCS0210PN003_SecondaryCrushing,MAR.M0210_FE012_MI_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE012_MI_sPV,\\PISERVER\Database1\PCS0210PN003_SecondaryCrushing|MAR.M0210_FE012_MI_sPV
PCS0210PN003_SecondaryCrushing,MAR.M0210_FE012_sHRSRUN,Attribute,PI Point,\\PISERVER\MAR.M0210_FE012_sHRSRUN,\\PISERVER\Database1\PCS0210PN003_SecondaryCrushing|MAR.M0210_FE012_sHRSRUN
PCS0210PN003_SecondaryCrushing,MAR.M0210_FE012_SPD_sPV,Attribute,PI Point,\\PISERVER\MAR.M0210_FE012_SPD_sPV,\\PISERVER\Database1\PCS0210PN003_SecondaryCrushing|MAR.M0210_FE012_SPD_sPV
